,0
h h,2
朋友。,1
自行车,2
ges,3
esa,2
hún,2
r g,4
ه ا,4
rub,2
 è ,3
不知道,2
ل أ,2
t i,4
我喜欢,1
有多少,1
م ي,2
s e,4
 ic,4
ehe,3
汤姆说,1
ouv,2
i i,3
tiế,4
"n, ",4
she,4
時候，,2
ي أ,2
hin,4
ven,6
'es,2
t e,4
heb,3
ذا ,2
ne ,6
ا أ,3
a d,5
os.,2
 هو,2
的孩子,1
看起來,1
ría,3
كن ,2
dat,4
n m,4
d h,3
 كل,2
mai,4
ato,4
مل ,2
ải ,2
a a,4
i p,3
n e,5
s l,4
t z,3
his,3
 في,4
idn,2
huy,2
我爸爸,1
mme,5
 ho,4
 هذ,3
tem,3
أن ,3
ux ,3
 أس,2
 أن,5
知道你,2
名字。,1
ada,4
sei,3
o k,2
ung,4
tie,4
ói ,4
ber,4
他們的,2
الف,2
دة ,2
i k,3
can,3
k h,2
hể ,4
ngh,2
知道。,1
e t,5
ers,4
de ,7
duj,1
ire,4
 op,4
 be,6
ve ,3
我不是,1
 لم,2
nel,2
tro,4
ono,4
h t,4
 zu,4
 vo,5
't ,2
es.,2
 je,4
j'a,3
 يع,3
 as,4
所以我,1
ter,12
e ž,1
我们的,2
ten,5
不喜歡,2
ي ي,2
علي,2
o m,4
我已经,1
an ,4
ng.,2
ện ,2
no ,4
gườ,4
إنه,2
我今天,1
an.,2
d m,3
 se,4
es ,11
rel,3
年了。,1
am ,4
bạn,3
él ,2
 lạ,2
uie,3
n d,4
是什么,1
y t,3
not,4
a f,3
ke ,2
u đ,2
are,4
qua,4
我认为,1
نت ,3
 فا,2
có ,4
d a,3
s p,4
er ,8
een,4
什么。,1
ày ,4
y s,2
as ,8
sso,3
n a,3
ب ا,2
re ,5
i đ,3
是我们,2
ann,3
n o,3
het,4
ker,2
nos,4
khô,3
ك ا,3
hij,4
hr ,4
房子。,1
ebe,3
cô ,3
 bu,4
了什么,1
没有人,1
e b,4
 av,3
ra ,5
phả,2
e e,5
man,6
什么？,2
sas,3
候，我,1
i w,3
nha,3
م أ,3
ht ,5
biế,2
oin,3
khe,2
是你的,1
n b,3
فعل,2
das,4
 أي,2
or ,4
v k,1
one,4
ل ت,2
st ,6
 le,5
ond,3
ine,5
naš,1
sẽ ,2
o l,3
يوم,3
么样？,1
oul,3
s a,3
，而是,1
ao ,3
 al,4
اضل,1
me ,5
 ko,3
قد ,2
ión,3
 we,5
muố,2
了很多,2
gen,4
h c,2
重要的,1
ذهب,2
 qu,8
y w,2
žen,1
ert,9
với,2
gel,3
الل,4
rei,4
e n,4
a m,3
du ,5
cht,5
هي ,4
oro,2
men,4
ois,3
的吗？,1
ij ,4
it ,4
nne,3
o s,3
met,3
اً ,3
a v,5
rất,2
汤姆不,1
一個人,1
pue,5
 ka,5
ara,4
ch ,8
كل ,2
por,3
dos,4
ن أ,3
n't,2
 cả,2
l t,3
د ا,5
ons,4
úng,2
 fi,3
ere,4
for,3
على,3
得很好,1
sn',2
ekh,2
 à ,5
ر ا,3
kaj,2
我们不,1
er.,2
ez ,3
eta,2
汤姆的,1
，我们,2
 nh,6
ược,3
 pa,5
ei ,4
الت,3
 er,4
wil,3
 aa,3
enn,3
om ,5
mij,3
tou,4
 el,5
ete,3
ida,4
pou,3
nou,5
 pe,5
e č,1
l l,2
não,3
tai,3
湯姆不,1
很好。,1
omm,4
in ,5
نا ,4
t w,4
khi,3
nde,9
naj,2
自己的,2
stá,4
 ih,4
هو ,2
 wo,3
هل ,2
ng?,1
ني ,3
الي,3
ocê,3
مكن,4
r t,3
 سي,3
kno,2
uči,1
ene,4
io ,4
se ,5
 da,6
ion,4
我们在,2
t g,2
sto,4
ا م,4
一下。,1
tan,3
to ,4
n i,3
voc,3
我不想,1
faz,2
usa,3
wan,3
ess,3
 ga,4
gin,2
end,3
 مع,2
ow ,4
ước,2
 il,4
ريد,3
đã ,2
地方。,1
o p,4
ela,4
tre,4
 en,5
為什麼,1
ein,8
này,2
ain,3
我們在,1
لأم,2
una,3
ا ا,2
i n,3
uch,4
e o,3
ich,9
 tu,7
汤姆是,1
ây ,2
te ,4
波士顿,2
rda,3
nav,2
 cu,3
