,0
h h,0
朋友。,0
自行车,0
ges,0
esa,0
hún,0
r g,0
ه ا,0
rub,0
 è ,0
不知道,0
ل أ,0
t i,0
我喜欢,0
有多少,0
م ي,0
s e,0
 ic,0
ehe,0
汤姆说,0
ouv,0
i i,0
tiế,0
"n, ",0
she,0
時候，,0
ي أ,0
hin,0
ven,0
'es,0
t e,0
heb,0
ذا ,0
ne ,0
ا أ,0
a d,0
os.,0
 هو,0
的孩子,0
看起來,0
ría,0
كن ,0
dat,0
n m,0
d h,0
 كل,0
mai,0
ato,0
مل ,0
ải ,0
a a,0
i p,0
n e,0
s l,0
t z,0
his,0
 في,0
idn,0
huy,0
我爸爸,0
mme,0
 ho,0
 هذ,0
tem,0
أن ,0
ux ,0
 أس,0
 أن,0
知道你,0
名字。,0
ada,0
sei,0
o k,0
ung,0
tie,0
ói ,0
ber,0
他們的,0
الف,0
دة ,0
i k,0
can,0
k h,0
hể ,0
ngh,0
知道。,0
e t,0
ers,0
de ,0
duj,0
ire,0
 op,0
 be,0
ve ,0
我不是,0
 لم,0
nel,0
tro,0
ono,0
h t,0
 zu,0
 vo,0
't ,0
es.,0
 je,0
j'a,0
 يع,0
 as,0
所以我,0
ter,0
e ž,0
我们的,0
ten,0
不喜歡,0
ي ي,0
علي,0
o m,0
我已经,0
an ,0
ng.,0
ện ,0
no ,0
gườ,0
إنه,0
我今天,0
an.,0
d m,0
 se,0
es ,0
rel,0
年了。,0
am ,0
bạn,0
él ,0
 lạ,0
uie,0
n d,0
是什么,0
y t,0
not,0
a f,0
ke ,0
u đ,0
are,0
qua,0
我认为,0
نت ,0
 فا,0
có ,0
d a,0
s p,0
er ,0
een,0
什么。,0
ày ,0
y s,0
as ,0
sso,0
n a,0
ب ا,0
re ,0
i đ,0
是我们,0
ann,0
n o,0
het,0
ker,0
nos,0
khô,0
ك ا,0
hij,0
hr ,0
房子。,0
ebe,0
cô ,0
 bu,0
了什么,0
没有人,0
e b,0
 av,0
ra ,0
phả,0
e e,0
man,0
什么？,0
sas,0
候，我,0
i w,0
nha,0
م أ,0
ht ,0
biế,0
oin,0
khe,0
是你的,0
n b,0
فعل,0
das,0
 أي,0
or ,0
v k,0
one,0
ل ت,0
st ,0
 le,0
ond,0
ine,0
naš,0
sẽ ,0
o l,0
يوم,0
么样？,0
oul,0
s a,0
，而是,0
ao ,0
 al,0
اضل,0
me ,0
 ko,0
قد ,0
ión,0
 we,0
muố,0
了很多,0
gen,0
h c,0
重要的,0
ذهب,0
 qu,0
y w,0
žen,0
ert,0
với,0
gel,0
الل,0
rei,0
e n,0
a m,0
du ,0
cht,0
هي ,0
oro,0
men,0
ois,0
的吗？,0
ij ,0
it ,0
nne,0
o s,0
met,0
اً ,0
a v,0
rất,0
汤姆不,0
一個人,0
pue,0
 ka,0
ara,0
ch ,0
كل ,0
por,0
dos,0
ن أ,0
n't,0
 cả,0
l t,0
د ا,0
ons,0
úng,0
 fi,0
ere,0
for,0
على,0
得很好,0
sn',0
ekh,0
 à ,0
ر ا,0
kaj,0
我们不,0
er.,0
ez ,0
eta,0
汤姆的,0
，我们,0
 nh,0
ược,0
 pa,0
ei ,0
الت,0
 er,0
wil,0
 aa,0
enn,0
om ,0
mij,0
tou,0
 el,0
ete,0
ida,0
pou,0
nou,0
 pe,0
e č,0
l l,0
não,0
tai,0
湯姆不,0
很好。,0
omm,0
in ,0
نا ,0
t w,0
khi,0
nde,0
naj,0
自己的,0
stá,0
 ih,0
هو ,0
 wo,0
هل ,0
ng?,0
ني ,0
الي,0
ocê,0
مكن,0
r t,0
 سي,0
kno,0
uči,0
ene,0
io ,0
se ,0
 da,0
ion,0
我们在,0
t g,0
sto,0
ا م,0
一下。,0
tan,0
to ,0
n i,0
voc,0
我不想,0
faz,0
usa,0
wan,0
ess,0
 ga,0
gin,0
end,0
 مع,0
ow ,0
ước,0
 il,0
ريد,0
đã ,0
地方。,0
o p,0
ela,0
tre,0
 en,0
為什麼,0
ein,0
này,0
ain,0
我們在,0
لأم,0
una,0
ا ا,0
i n,0
uch,0
e o,0
ich,0
 tu,0
汤姆是,0
ây ,0
te ,0
波士顿,0
rda,0
nav,0
 cu,0
eit,0
di ,0
oi ,0
 ca,0
ột ,0
ens,0
ون ,0
va ,0
 dé,0
游泳。,0
iến,0
的人。,0
mit,0
 mo,0
 te,0
ear,0
na ,0
ير ,0
لا ,0
pas,0
是真的,0
ợc ,0
ame,0
الو,0
my ,0
kan,0
đi ,0
u n,0
mei,0
الح,0
of ,0
g đ,0
ido,0
aid,0
nic,0
t a,0
ehr,0
sos,0
cái,0
um ,0
e d,0
j i,0
 é ,0
be ,0
這本書,0
ndo,0
i l,0
كان,0
 re,0
ica,0
ة ل,0
ass,0
الم,0
war,0
يلى,0
len,0
m i,0
 au,0
ong,0
eri,0
ard,0
سام,0
của,0
 لك,0
ier,0
oy ,0
你應該,0
ّة ,0
iam,0
g m,0
ar ,0
i v,0
ué ,0
 ei,0
在哪裡,0
ين ,0
مي ,0
ng ,0
m a,0
uir,0
 vớ,0
 xa,0
res,0
id ,0
的朋友,0
重要。,0
té ,0
n g,0
ate,0
c c,0
ا ت,0
 th,0
n t,0
ن ف,0
là ,0
tar,0
dum,0
 لي,0
mi ,0
"t, ",0
nho,0
ống,0
时间。,0
hre,0
ا ل,0
 ar,0
ي ف,0
了一個,0
在一起,0
是一個,0
lij,0
e z,0
ất ,0
hải,0
e c,0
ủa ,0
ien,0
ới ,0
e q,0
go ,0
ane,0
anc,0
ليس,0
c n,0
的房间,0
ás ,0
西班牙,0
do ,0
告诉我,0
真的很,0
 đó,0
han,0
我希望,0
ا ب,0
有任何,0
e s,0
 أح,0
m w,0
走了。,0
ro ,0
 ba,0
ord,0
t n,0
ken,0
汤姆和,0
的東西,0
ndi,0
ai ,0
sa ,0
s m,0
ont,0
 ấy,0
在哪里,0
孩子。,0
n p,0
الط,0
g l,0
một,0
 že,0
 fa,0
hat,0
有没有,0
 بع,0
ind,0
 na,0
oet,0
un ,0
ة ف,0
"e, ",0
 có,0
hac,0
cê ,0
 no,0
ó t,0
 ti,0
je ,0
ى م,0
رة ,0
to.,0
ies,0
ss ,0
讓我們,0
 đi,0
 من,0
der,0
s i,0
ta ,0
 عن,0
car,0
我已經,0
iet,0
 so,0
was,0
aj ,0
مع ,0
 du,0
ấy ,0
s v,0
 on,0
 la,0
 جد,0
abe,0
m k,0
来的。,0
r i,0
olt,0
e f,0
g t,0
我們的,0
是什麼,0
uma,0
ly ,0
 đa,0
eef,0
 sc,0
aar,0
i t,0
tu ,0
الق,0
你喜欢,0
الص,0
e h,0
 kh,0
hey,0
 ee,0
ing,0
mo ,0
الك,0
 ik,0
من ,0
 o ,0
ary,0
sse,0
ông,0
m t,0
l k,0
ام ,0
 ذل,0
工作。,0
，不是,0
e j,0
ại ,0
ost,0
هم ,0
el ,0
ron,0
on ,0
son,0
我没有,0
dan,0
our,0
توم,0
ل م,0
qué,0
عمل,0
pre,0
tom,0
الع,0
far,0
ske,0
ية ,0
il ,0
l'a,0
ليل,0
ời ,0
mos,0
ren,0
الش,0
了我的,0
lan,0
iv ,0
eer,0
e p,0
s n,0
vo ,0
ات ,0
o a,0
，我就,0
 of,0
ến ,0
e k,0
我知道,0
dem,0
他们的,0
 om,0
peu,0
r w,0
que,0
本书。,0
i d,0
tra,0
ado,0
انت,0
ho ,0
you,0
ت ا,0
 عل,0
ašt,0
ngư,0
ir ,0
sa.,0
时候，,0
g c,0
有一个,0
我想要,0
ijk,0
sen,0
eel,0
ى ا,0
a k,0
et ,0
o i,0
s s,0
hei,0
las,0
ère,0
有一個,0
漂亮的,0
ي ت,0
 ال,0
n l,0
m đ,0
n j,0
str,0
t h,0
ia ,0
ue ,0
 gi,0
kha,0
so ,0
e l,0
 đư,0
 bi,0
m n,0
hi ,0
什么时,0
الج,0
如果你,0
era,0
hou,0
y n,0
يس ,0
ều ,0
ình,0
sai,0
ted,0
ach,0
 hi,0
ur ,0
 ما,0
cos,0
的东西,0
 ta,0
ery,0
j ž,0
van,0
wha,0
 zo,0
wir,0
ا ي,0
امي,0
ama,0
 i ,0
ans,0
tio,0
i g,0
